f109k_id,f109
0,-0.9998865588752973
1,-0.9996610112055788
2,-0.999276198104448
3,-0.9990877290627772
4,-0.9989304601789328
5,-0.9985227675203382
6,-0.9971581187613439
7,-0.996902111062432
8,-0.9967444243802627
9,-0.996302480315449
10,-0.9958726258474135
11,-0.9953439896950578
12,-0.9944767380610979
13,-0.9942049278572418
14,-0.9935948260747992
15,-0.9923574578302166
16,-0.9905514115127755
17,-0.9887709563465644
18,-0.9873335534393234
19,-0.9864556295993618
20,-0.984881639773233
21,-0.9842423948627262
22,-0.9831712435204076
23,-0.9822967758654453
24,-0.9805994464835328
25,-0.9780636145542836
26,-0.9768059484088367
27,-0.9749745917235546
28,-0.9741393771270239
29,-0.9737006813001639
30,-0.9726981875948844
31,-0.9706241051283613
32,-0.9689261473895525
33,-0.9665394000202185
34,-0.9656192708788001
35,-0.9648352839310842
36,-0.964207675555228
37,-0.9620496313849121
38,-0.9582178866499361
39,-0.9577475601377132
40,-0.9554264892234359
41,-0.9530333805169962
42,-0.9521654920012304
43,-0.951068974692258
44,-0.950354600060175
45,-0.9481286427030353
46,-0.9478471395782594
47,-0.9457433815956957
48,-0.9409087431150773
49,-0.9383438883113375
50,-0.9327586742829558
51,-0.9303645383481456
52,-0.9275285258997619
53,-0.923526943879768
54,-0.9225135344660824
55,-0.9202812369474958
56,-0.9180993006358582
57,-0.9153479989583424
58,-0.9140566660290785
59,-0.9123828885424303
60,-0.9082186589740128
61,-0.8999968791006315
62,-0.8939714662597309
63,-0.8895013704352241
64,-0.8883667906142343
65,-0.8845173881961801
66,-0.875839415889883
67,-0.8696173721900717
68,-0.8639749415494469
69,-0.8613791864633433
70,-0.8598328313014294
71,-0.8580649191704239
72,-0.8575710355333218
73,-0.8547277299299455
74,-0.8514944432328575
75,-0.8439570441743243
76,-0.8376433448045293
77,-0.835662658365133
78,-0.8341308767740855
79,-0.8314931255052758
80,-0.8306550106059105
81,-0.8293130820556959
82,-0.8268190021903032
83,-0.825582295658027
84,-0.8191786553975703
85,-0.8169385279209758
86,-0.8165407392429387
87,-0.8112317612743661
88,-0.8036748810418834
89,-0.7980261545738804
90,-0.7969603647367097
91,-0.7935725100160487
92,-0.7893951455841604
93,-0.7863100613720638
94,-0.7849883577733034
95,-0.7833363992068602
96,-0.7817182838563478
97,-0.7799144501973576
98,-0.7748935410773137
99,-0.7708073624317873
100,-0.7668600538863208
101,-0.764589957120539
102,-0.7599387264609279
103,-0.7527145749251294
104,-0.7476252175396336
105,-0.7443810451954541
106,-0.7406484944060513
107,-0.7377343044655879
108,-0.7333579373153818
109,-0.7263575687067136
110,-0.7234094984515453
111,-0.7199440721923633
112,-0.7115383882661899
113,-0.7023683989795433
114,-0.6972022462655438
115,-0.6927744177008903
116,-0.6893079205022594
117,-0.6850081069207423
118,-0.6820207887378293
119,-0.6788843821025257
120,-0.6776192716953126
121,-0.6756977474109805
122,-0.670445050711117
123,-0.6693722665178136
124,-0.662651673248023
125,-0.6536245784211088
126,-0.6443985140543004
127,-0.6420540933304384
128,-0.638956508287015
129,-0.6358360324001345
130,-0.6236652038642572
131,-0.6192620269047232
132,-0.6186364491388245
133,-0.6171229738033445
134,-0.6114298446056585
135,-0.6034281176673864
136,-0.597513584870421
137,-0.5939300301117951
138,-0.5906603596419716
139,-0.583852767866285
140,-0.5791465420379649
141,-0.5758770343449835
142,-0.5754126605716645
143,-0.5685699216189828
144,-0.5656402800794947
145,-0.5618133447194491
146,-0.5499730740084985
147,-0.5421668957247131
148,-0.5365497223696469
149,-0.5308813999237698
150,-0.527097856684712
151,-0.5239612948865857
152,-0.5202068610946258
153,-0.5141468895464365
154,-0.5053854578900047
155,-0.5005880592458696
156,-0.4959808283349312
157,-0.4850973055047653
158,-0.4822120083445661
159,-0.48014824271490253
160,-0.4741804473099932
161,-0.4687424259701375
162,-0.46467072505391016
163,-0.45654534045010436
164,-0.45098264912328156
165,-0.43360323231204634
166,-0.4202566093729145
167,-0.4150199286730327
168,-0.4132806394838554
169,-0.40954550942572177
170,-0.40453752157528733
171,-0.4002683225732955
172,-0.39056661522985714
173,-0.3833858619056021
174,-0.3823907283438418
175,-0.3800288345707
176,-0.37515142756509523
177,-0.3731225048657334
178,-0.36346147031109177
179,-0.35922589648468906
180,-0.3536478319758968
181,-0.34837670021551004
182,-0.33960572641752496
183,-0.3327907289052563
184,-0.32992580657217163
185,-0.3268792003586791
186,-0.3205381713220925
187,-0.3177460855008506
188,-0.3138125426989461
189,-0.311291688701632
190,-0.3088481424759927
191,-0.3014305639854097
192,-0.2950980692232994
193,-0.2887157963776826
194,-0.2844270520655746
195,-0.27560664781336675
196,-0.2671808122524272
197,-0.26528869034470604
198,-0.26452762068402896
199,-0.26275889212088344
200,-0.2580581048515602
201,-0.2557919585811579
202,-0.2522741492905133
203,-0.24753064601860986
204,-0.23990717963352445
205,-0.23653902750426534
206,-0.2344118331380409
207,-0.22569938188770478
208,-0.2155772978057492
209,-0.20952266208239023
210,-0.2009908432744577
211,-0.19568323422490122
212,-0.1848994030405668
213,-0.17629490168622353
214,-0.1748149203293386
215,-0.1721683940745737
216,-0.1700635896644646
217,-0.1643938199014245
218,-0.1575683166987596
219,-0.15552723998549872
220,-0.15037288754440736
221,-0.1440819791676008
222,-0.14197748270732674
223,-0.134225188707649
224,-0.13286136409838212
225,-0.12703730755007175
226,-0.12248723798449652
227,-0.12056247940297893
228,-0.11261060230484332
229,-0.11014647746649472
230,-0.1049221883997207
231,-0.0982150286997089
232,-0.08848403797846624
233,-0.07877488070272008
234,-0.07500471217959412
235,-0.07291876661012581
236,-0.06924715203303083
237,-0.06674826389846153
238,-0.05957109554687248
239,-0.05705633374385359
240,-0.05226555080726006
241,-0.04385271297194017
242,-0.039705357244983974
243,-0.027094593307324645
244,-0.020028009762766738
245,-0.01858759294997124
246,-0.014123967800197073
247,-0.008242104050904246
248,-0.0014653991449331163
249,0.0031769587134031357
250,0.006502373669042169
251,0.011751048768388502
252,0.01628556158445521
253,0.021590769036783274
254,0.029443717435234863
255,0.04138105767586304
256,0.04471450587655282
257,0.05202397858469495
258,0.05910946325464776
259,0.06792236067023291
260,0.07258745509510375
261,0.07559045972691811
262,0.07642016583034353
263,0.07911714122866415
264,0.08127875539802276
265,0.08780690555428422
266,0.1043335079211632
267,0.10609177076381308
268,0.1158871284469071
269,0.12043486669775494
270,0.12387576868274452
271,0.13073655418480323
272,0.13978618240042168
273,0.1462183821310984
274,0.15227309138352346
275,0.1562457678836252
276,0.16148504589692292
277,0.1695043986717854
278,0.1761691758571542
279,0.17903978144324956
280,0.18917146817209446
281,0.19260750999655524
282,0.19919817503431878
283,0.20928458226321867
284,0.22212822261670917
285,0.22700743952436978
286,0.23231170677985824
287,0.23857705356327324
288,0.24133236113938195
289,0.24476540507145128
290,0.2480759869136715
291,0.2579700255905309
292,0.26462496560241366
293,0.2669432790747275
294,0.27158542186404677
295,0.27690947713768627
296,0.27883990486885446
297,0.2852769130382265
298,0.29872934392387374
299,0.3029758536409429
300,0.306717378945507
301,0.3144167713823347
302,0.31964337174435004
303,0.3323445411933392
304,0.3347677847312607
305,0.3420692316595486
306,0.3491334900484281
307,0.3585518878930657
308,0.36081042641635175
309,0.3647806216621442
310,0.3694072270587894
311,0.3759756444499514
312,0.3813697830984355
313,0.3862933788138838
314,0.3897158261890757
315,0.39655575808860577
316,0.40082337534884044
317,0.40980927574862525
318,0.41899279775902
319,0.42868319266597155
320,0.43490336256862594
321,0.4393711499275194
322,0.44584520131003486
323,0.4510557796948989
324,0.45327943689799804
325,0.4560595938739811
326,0.4676273082769279
327,0.4734285764280598
328,0.4766177210608227
329,0.48493429092070905
330,0.49281543992882254
331,0.49449720266211594
332,0.4996371436231926
333,0.5073326987295581
334,0.5092864720052956
335,0.512906460777341
336,0.5146856054643709
337,0.5194233516799249
338,0.5256847592847104
339,0.5293483971193418
340,0.5330546480683042
341,0.5380470719453166
342,0.5418195769029752
343,0.5425132996272608
344,0.5452511169208709
345,0.5539915058336656
346,0.5624943030110656
347,0.5704513868775816
348,0.5750981580583816
349,0.5791919568331091
350,0.5892097529276157
351,0.5921313758704247
352,0.5969179620937737
353,0.6055810018691048
354,0.6124327183641786
355,0.6194292076195304
356,0.6213711275611771
357,0.623953084262035
358,0.6295083341628133
359,0.6326623551343908
360,0.6344529083384702
361,0.6377098680896434
362,0.6414263748858782
363,0.645907730011458
364,0.6570226644533592
365,0.6593302820049434
366,0.661402577433329
367,0.6633480940057336
368,0.6655270607681562
369,0.6753081555713047
370,0.6851942756943383
371,0.6867554894669354
372,0.6961704855293727
373,0.7000118686719559
374,0.7076332010178612
375,0.7082024968894698
376,0.7113426857752979
377,0.7177585760595505
378,0.7213913888729638
379,0.7218492225791457
380,0.7260401462534662
381,0.7295024077339403
382,0.7317723166281974
383,0.7373759519419275
384,0.7386640618615143
385,0.7416948350018111
386,0.7539873817679028
387,0.7572596377006217
388,0.7603898290275543
389,0.7629958760847266
390,0.7677674234237297
391,0.77080004103282
392,0.773125549493141
393,0.7753215478678632
394,0.7769012780498024
395,0.7778665015353909
396,0.7799836659310345
397,0.7838076816476951
398,0.7871949929826143
399,0.7892237793560354
400,0.7923603133093393
401,0.7966460238467641
402,0.7975577547480328
403,0.7987565116106461
404,0.8051167787815952
405,0.8086067260823839
406,0.8120450974591068
407,0.8215627136289819
408,0.8267177777186248
409,0.8308020536569909
410,0.8334751841750524
411,0.8374157801061672
412,0.8408394740102391
413,0.8466143418659928
414,0.853725932951918
415,0.854800795323134
416,0.8603805154721426
417,0.864533000901825
418,0.8687670384796908
419,0.8740022769397333
420,0.8770553834779781
421,0.8800689480058574
422,0.8849292744494177
423,0.8895509300463221
424,0.8942130119231779
425,0.8952935812473816
426,0.8969727636217386
427,0.8996457170332535
428,0.9046683854780551
429,0.9062029076401878
430,0.906994627438934
431,0.9107839329958539
432,0.912933833068955
433,0.9163451999103249
434,0.9193926141941697
435,0.9214677726205973
436,0.9233676013759137
437,0.9249425217533558
438,0.9289926999041926
439,0.9311394801937722
440,0.9334755048277747
441,0.9343028290481632
442,0.9350685360237099
443,0.9362577689681504
444,0.9375476016057103
445,0.9418207169715493
446,0.9434048590500937
447,0.9462393117155607
448,0.9507032026643782
449,0.9516354357075016
450,0.9526398717594925
451,0.9569599948812296
452,0.9578471980529738
453,0.95863958549395
454,0.9596813550769608
455,0.9603343189469514
456,0.9642871651471644
457,0.9658012161596732
458,0.9666491542287484
459,0.9677605496972153
460,0.9683971151699806
461,0.9698735179439231
462,0.9711512688149899
463,0.9729126524407603
464,0.9735515657894029
465,0.9742272826986397
466,0.9767942604769667
467,0.9780228212330229
468,0.9804767689320639
469,0.9809903814634321
470,0.9812478264099331
471,0.981767926787098
472,0.983772270884588
473,0.9851035086166589
474,0.9855299068769541
475,0.986128554242758
476,0.9873192010846981
477,0.9878795793881416
478,0.9899826479065191
479,0.9914306704566611
480,0.9921394182840761
481,0.992642021607975
482,0.9935735091443695
483,0.9945858602466606
484,0.9958221987824603
485,0.9962182985347462
486,0.9966909883726914
487,0.997313093574353
488,0.9974785380994275
489,0.9976925247891828
490,0.9984640178686983
491,0.998582339496447
492,0.9990054844266875
493,0.9993259794678617
494,0.9995245072130072
495,0.9998029203609742
496,0.999916537697702
497,0.9999548328875167
498,0.9999887579677622
499,0.9999981692896744
